student_id,week,major_interest,major_satisfaction,major_continuation_intent,career_clarity,learning_difficulty,consultation_intent,interest_fields,desired_job,natural_language_concern
S0155,4,5,5,5,5,3,5,데이터·AI|경영·마케팅,서비스 운영,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0156,4,3,5,3,4,2,3,서비스|경영·마케팅,데이터 분석,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0157,4,4,3,4,4,4,3,서비스,데이터 분석,최근 수업과 과제를 따라가는 것이 조금 버겁고 공부에 집중하기 어려운 날이 많았습니다.
S0158,4,2,1,2,3,3,5,콘텐츠·디자인|데이터·AI,콘텐츠 기획,전공 수업이 제 적성과 맞는지 확신이 없고 콘텐츠와 기획 분야도 함께 탐색해 보고 싶습니다.
S0159,4,1,2,1,2,2,4,데이터·AI|경영·마케팅,디지털 마케팅,현재 전공이 생각했던 것과 조금 다른 것 같고 다른 분야에도 관심이 있습니다. 앞으로 무엇을 공부해야 할지 고민됩니다.
S0160,4,4,4,4,5,1,1,콘텐츠·디자인|서비스,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0161,4,3,3,3,1,3,5,경영·마케팅,,관심 분야는 몇 가지 있지만 구체적인 희망직무가 없어 진로 탐색을 어디서 시작해야 할지 고민됩니다.
S0162,4,4,4,5,4,2,1,데이터·AI,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0163,4,5,4,5,5,2,1,서비스|데이터·AI,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0164,4,4,4,3,4,4,4,콘텐츠·디자인|서비스,콘텐츠 기획,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0165,4,5,5,4,4,1,1,서비스|데이터·AI,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0166,4,3,3,4,3,4,4,상담·복지,데이터 실무,퀴즈에서 어려운 문제가 많았고 이전에 부족했던 과목까지 함께 보완할 방법이 필요합니다.
S0167,4,3,2,2,1,4,4,경영·마케팅|콘텐츠·디자인,,최근 결석과 밀린 과제가 함께 늘었고 전공과 진로에 대한 확신도 낮아 무엇부터 해결해야 할지 모르겠습니다.
S0168,4,3,4,4,4,4,5,데이터·AI,서비스 운영,퀴즈에서 어려운 문제가 많았고 이전에 부족했던 과목까지 함께 보완할 방법이 필요합니다.
S0169,4,3,3,2,1,4,4,경영·마케팅,,학습 진도를 놓친 뒤 학교생활 전반에 자신감이 떨어졌고 진로 방향도 함께 상담받고 싶습니다.
S0170,4,3,4,3,4,5,4,콘텐츠·디자인,서비스 기획,강의 영상과 과제를 제때 끝내지 못하는 일이 늘어 효과적인 학습 계획이 필요합니다.
S0171,4,4,4,4,4,4,4,데이터·AI,서비스 운영,공부한 만큼 성적이 나오지 않고 기초 내용이 부족한 것 같아 학습 방법을 상담받고 싶습니다.
S0172,4,2,1,1,2,3,5,콘텐츠·디자인|데이터·AI,디지털 마케팅,지금 전공을 계속 공부할지 고민 중이며 관심 있는 데이터와 디자인 분야를 어떻게 연결할지 궁금합니다.
S0173,4,5,5,4,5,1,2,데이터·AI,콘텐츠 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0174,4,4,3,4,1,2,5,경영·마케팅,,졸업 후 진로가 선명하지 않아 제 강점과 맞는 직무를 알아보고 싶습니다.
S0175,4,4,4,5,5,1,1,데이터·AI|서비스,콘텐츠 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0176,4,5,5,5,5,1,2,서비스|콘텐츠·디자인,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0177,4,4,5,4,5,2,2,콘텐츠·디자인,서비스 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0178,4,5,4,5,5,1,1,데이터·AI|콘텐츠·디자인,데이터 분석,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0179,4,4,5,4,5,2,2,콘텐츠·디자인,콘텐츠 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0180,4,3,5,3,3,2,3,서비스|경영·마케팅,서비스 운영,최근 일정 관리가 잘되지 않아 수업에 빠지는 날이 생겼고 출석 흐름을 다시 잡고 싶습니다.
S0181,4,4,4,5,4,1,1,콘텐츠·디자인,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0182,4,4,5,5,4,2,2,서비스|콘텐츠·디자인,콘텐츠 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0183,4,3,3,4,4,3,5,콘텐츠·디자인|서비스,데이터 분석,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0184,4,3,4,4,1,3,3,데이터·AI,,아직 어떤 일을 하고 싶은지 정하지 못했고 지금 전공을 어떻게 진로와 연결해야 할지 잘 모르겠습니다.
S0185,4,5,5,5,4,1,2,데이터·AI|콘텐츠·디자인,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0186,4,5,5,5,4,2,1,데이터·AI,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0187,4,2,1,1,4,4,5,데이터·AI,디지털 마케팅,현재 전공이 생각했던 것과 조금 다른 것 같고 다른 분야에도 관심이 있습니다. 앞으로 무엇을 공부해야 할지 고민됩니다.
S0188,4,5,4,4,5,2,1,콘텐츠·디자인|서비스,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0189,4,4,5,5,4,2,1,콘텐츠·디자인,서비스 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0190,4,1,2,1,3,3,5,경영·마케팅,데이터 기획,지금 전공을 계속 공부할지 고민 중이며 관심 있는 데이터와 디자인 분야를 어떻게 연결할지 궁금합니다.
S0191,4,2,2,2,1,4,4,서비스,서비스 기획,최근 결석과 밀린 과제가 함께 늘었고 전공과 진로에 대한 확신도 낮아 무엇부터 해결해야 할지 모르겠습니다.
S0192,4,3,4,3,5,3,3,경영·마케팅,마케팅 기획,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0193,4,5,4,4,5,2,2,콘텐츠·디자인|데이터·AI,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0194,4,4,5,5,4,2,1,데이터·AI|서비스,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0195,4,5,3,3,3,4,3,서비스|데이터·AI,마케팅 기획,최근 일정 관리가 잘되지 않아 수업에 빠지는 날이 생겼고 출석 흐름을 다시 잡고 싶습니다.
S0196,4,4,3,4,3,4,3,데이터·AI,콘텐츠 기획,강의 영상과 과제를 제때 끝내지 못하는 일이 늘어 효과적인 학습 계획이 필요합니다.
S0197,4,3,5,3,4,3,5,서비스,데이터 분석,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0198,4,1,2,3,1,4,5,경영·마케팅,,수업 참여와 성적이 모두 걱정되고 현재 전공을 계속해야 할지도 고민되어 단계적인 도움이 필요합니다.
S0199,4,5,5,5,4,1,1,콘텐츠·디자인|서비스,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0200,4,4,4,3,2,3,4,경영·마케팅|데이터·AI,,졸업 후 진로가 선명하지 않아 제 강점과 맞는 직무를 알아보고 싶습니다.
